epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,20673.6,0.50107,0.76421,0.43384,0.90358,0.94182,0.92164,0.9438,0.78038,0.9196,0.90018,0.91618,0.68002,0.52215,0.89932,0.4734,0.96853,0.0005248,0.0005248,0.0005248
50,21054.1,0.48868,0.76409,0.42481,0.89885,0.94941,0.90445,0.93627,0.79069,0.92287,0.87773,0.90791,0.6966,0.51626,0.80799,0.47151,0.95162,0.0005149,0.0005149,0.0005149
51,21391.8,0.47448,0.74075,0.41766,0.89673,0.94235,0.90927,0.93647,0.7937,0.93301,0.89707,0.92565,0.70475,0.51978,0.90014,0.46635,0.96475,0.000505,0.000505,0.000505
52,21762.4,0.48971,0.77458,0.42978,0.89481,0.94882,0.9079,0.93307,0.78417,0.93039,0.88889,0.91224,0.68855,0.52691,1.00398,0.48686,0.96147,0.0004951,0.0004951,0.0004951
53,22118.8,0.48952,0.74707,0.41436,0.89815,0.9615,0.90213,0.93858,0.7917,0.94268,0.8817,0.91565,0.69849,0.50065,0.96269,0.46711,0.94199,0.0004852,0.0004852,0.0004852
54,22460.7,0.48096,0.74206,0.41011,0.89543,0.93296,0.92047,0.94135,0.80229,0.90974,0.89716,0.90968,0.70379,0.48682,0.81532,0.44356,0.94616,0.0004753,0.0004753,0.0004753
55,22861.8,0.46894,0.72597,0.41485,0.89105,0.94856,0.90885,0.94203,0.79207,0.93155,0.87414,0.90729,0.70994,0.51412,0.90129,0.45939,0.94404,0.0004654,0.0004654,0.0004654
56,23198.6,0.48002,0.73902,0.42011,0.89819,0.94263,0.9136,0.94199,0.80079,0.93059,0.87911,0.91627,0.71236,0.47585,0.85268,0.45928,0.93361,0.0004555,0.0004555,0.0004555
57,23535.9,0.4705,0.74328,0.41647,0.89303,0.93724,0.90737,0.94065,0.79503,0.91672,0.88593,0.9142,0.71408,0.51855,0.92926,0.45008,0.96239,0.0004456,0.0004456,0.0004456
58,23849.1,0.45625,0.72212,0.39147,0.88823,0.95131,0.90364,0.94481,0.79389,0.93563,0.88887,0.92777,0.71779,0.50711,0.85134,0.45157,0.94587,0.0004357,0.0004357,0.0004357
59,24188.6,0.46855,0.73375,0.40984,0.89416,0.91087,0.90874,0.9368,0.80582,0.90736,0.87591,0.92179,0.6993,0.49691,0.84928,0.46841,0.93982,0.0004258,0.0004258,0.0004258
60,24532.2,0.47319,0.73997,0.40241,0.89122,0.92632,0.91424,0.94028,0.80751,0.91189,0.90012,0.92853,0.69767,0.49612,0.86697,0.44962,0.95581,0.0004159,0.0004159,0.0004159
61,24875.2,0.47546,0.7372,0.41109,0.89955,0.92951,0.90402,0.93401,0.7996,0.91892,0.89367,0.92173,0.71175,0.51279,0.82535,0.46023,0.95863,0.000406,0.000406,0.000406
62,25261.8,0.47292,0.77346,0.40476,0.89725,0.93836,0.90613,0.93809,0.79946,0.92034,0.88825,0.9164,0.69075,0.49598,0.85003,0.44518,0.96701,0.0003961,0.0003961,0.0003961
63,25627.1,0.45064,0.69967,0.38672,0.89778,0.94735,0.90134,0.94034,0.79985,0.92691,0.8749,0.91009,0.69405,0.48572,0.81346,0.44561,0.94737,0.0003862,0.0003862,0.0003862
64,25949.9,0.45676,0.68875,0.39123,0.8874,0.9532,0.90555,0.94212,0.8058,0.92639,0.87971,0.90991,0.70149,0.47065,0.79351,0.44924,0.93354,0.0003763,0.0003763,0.0003763
